"","pvalue","Group2 Deaths","Group2 Deaths with Top","Group2 Deaths with Down","Mean Group2 Top","Mean Group2 Down","Mean Group1"
"ENSG00000000460",5.00261998492846e-08,110,73,37,2.09882718446602,0.3739,1.04042712456345
"ENSG00000004059",6.54600942895378e-07,106,56,50,47.0015961165049,21.0046947183099,31.1347898719441
"ENSG00000004487",2.15997707808668e-06,108,62,46,13.1146111650485,7.00182816901408,9.54708044237485
"ENSG00000005189",1.52527391734658e-05,108,64,44,1.74696650485437,0.292194014084507,0.82601944121071
"ENSG00000000971",1.52756542064481e-05,104,58,46,4.07817330097087,0.0454947183098592,1.13206507566938
"ENSG00000004455",4.924649656457e-05,91,59,32,18.1349601941748,8.61503098591549,13.0536399301513
"ENSG00000004468",5.1066486547513e-05,112,36,76,114.852166990291,34.6877598591549,68.024341443539
"ENSG00000004700",0.000169312047041292,113,68,45,11.8406048543689,4.45991232394366,7.56305471478463
"ENSG00000002746",0.000173513295621763,114,62,52,0.216072330097087,0.00114842105263158,0.0560506402793946
"ENSG00000005194",0.000196952947303819,111,63,48,10.0895830097087,4.55758732394366,6.96743376018626
"ENSG00000004534",0.000314452297393797,101,32,69,45.4204300970874,19.9604292253521,31.166805355064
"ENSG00000000938",0.000485851879896138,102,52,50,12.0115830097087,0.177025352112676,3.42115902211874
"ENSG00000004142",0.000704633071138216,118,66,52,48.821586407767,26.4477559859155,35.9331853317811
"ENSG00000005421",0.00103374499609066,147,57,90,0.0889078048780488,0.000910909090909091,0.0266171129220023
"ENSG00000002834",0.0021667869443992,101,53,48,27.1988461165049,10.5291654929577,16.998211757858
"ENSG00000004866",0.00251377111638873,101,35,66,10.1446412621359,5.34612042253521,7.43571466821886
"ENSG00000003249",0.00266584083644983,97,28,69,0.959491262135922,0.0650570422535211,0.371397904540163
"ENSG00000001497",0.00300693094758919,110,61,49,12.7994475728155,7.35598908450704,9.70847753201397
"ENSG00000004478",0.00342175134098299,101,58,43,20.4295398058252,7.54079929577465,12.6691435389988
"ENSG00000004799",0.00414314281162631,117,37,80,21.6222334951456,0.419020774647887,6.42166938300349
"ENSG00000001617",0.00447304003261872,100,46,54,0.267154854368932,0.00983263157894737,0.0847308498253783
